"port","proto","svc","info"
"151","tcp","hems","hems"
"152","tcp","bftp","Background File Transfer Program"
"153","tcp","sgmp","sgmp"
"154","tcp","netsc-prod","NETSC"
"155","tcp","netsc-dev","NETSC"
"156","tcp","sqlsrv","SQL Service"
"157","tcp","knet-cmp","KNET/VM Command/Message Protocol"
"158","tcp","pcmail-srv","PCMail Server"
"159","tcp","nss-routing","nss-routing"
"160","tcp","sgmp-traps","sgmp-traps"
"161","tcp","snmp","snmp"
"162","tcp","snmptrap","snmp-trap"
"163","tcp","cmip-man","CMIP/TCP Manager"
"164","tcp","cmip-agent","CMIP/TCP Agent"
"165","tcp","xns-courier","Xerox"
"166","tcp","s-net","Sirius Systems"
"167","tcp","namp","namp"
"168","tcp","rsvd","rsvd"
"169","tcp","send","send"
"170","tcp","print-srv","Network PostScript"
"171","tcp","multiplex","Network Innovations Multiplex"
"172","tcp","cl-1","cl-1"
"173","tcp","xyplex-mux","Xyplex"
"174","tcp","mailq","mailq"
"175","tcp","vmnet","vmnet"
"176","tcp","genrad-mux","genrad-mux"
"177","tcp","xdmcp","xdmcp"
"178","tcp","nextstep","NextStep Window Server"
"179","tcp","bgp","Border Gateway Protocol"
"180","tcp","ris","Intergraph"
"181","tcp","unify","unify"
"182","tcp","audit","Unisys Audit SITP"
"183","tcp","ocbinder","ocbinder"
"184","tcp","ocserver","ocserver"
"185","tcp","remote-kis","remote-kis"
"186","tcp","kis","KIS Protocol"
"187","tcp","aci","Application Communication Interface"
"188","tcp","mumps","Plus Five's MUMPS"
"189","tcp","qft","Queued File Transport"
"190","tcp","gacp","Gateway Access Control Protocol"
"191","tcp","prospero","Prospero Directory Service"
"192","tcp","osu-nms","OSU Network Monitoring System"
"193","tcp","srmp","Spider Remote Monitoring Protocol"
"194","tcp","irc","irc"
"195","tcp","dn6-nlm-aud","DNSIX Network Level Module Audit"
"196","tcp","dn6-smm-red","DNSIX Session Mgt Module Audit Redir"
"197","tcp","dls","Directory Location Service"
"198","tcp","dls-mon","Directory Location Service Monitor"
"199","tcp","smux","SNMP Unix Multiplexer"
"200","tcp","src","IBM System Resource Controller"
"201","tcp","at-rtmp","AppleTalk Routing Maintenance"
"202","tcp","at-nbp","AppleTalk Name Binding"
"203","tcp","at-3","AppleTalk Unused"
"204","tcp","at-echo","AppleTalk Echo"
"205","tcp","at-5","AppleTalk Unused"
"206","tcp","at-zis","AppleTalk Zone Information"
"207","tcp","at-7","AppleTalk Unused"
"208","tcp","at-8","AppleTalk Unused"
"209","tcp","tam","tam"
"210","tcp","z39.50","z39.50"
"211","tcp","914c-g","914c-g"
"212","tcp","anet","ATEXSSTR"
"213","tcp","ipx","ipx"
"214","tcp","vmpwscs","VM PWSCS"
"215","tcp","softpc","Insignia Solutions"
"216","tcp","atls","atls"
"217","tcp","dbase","dBASE Unix"
"218","tcp","mpp","Netix Message Posting Protocol"
"219","tcp","uarps","Unisys ARPs"
"220","tcp","imap3","Interactive Mail Access Protocol v3"
"221","tcp","fln-spx","Berkeley rlogind with SPX auth"
"222","tcp","rsh-spx","Berkeley rshd with SPX auth"
"223","tcp","cdc","Certificate Distribution Center"
"224","tcp","masqdialer","masqdialer"
"225","tcp","unknown",""
"226","tcp","unknown",""
"227","tcp","unknown",""
"228","tcp","unknown",""
"229","tcp","unknown",""
"230","tcp","unknown",""
"231","tcp","unknown",""
"232","tcp","unknown",""
"233","tcp","unknown",""
"234","tcp","unknown",""
"235","tcp","unknown",""
"236","tcp","unknown",""
"237","tcp","unknown",""
"238","tcp","unknown",""
"239","tcp","unknown",""
"240","tcp","unknown",""
"241","tcp","unknown",""
"242","tcp","direct","direct"
"243","tcp","sur-meas","Survey Measurement"
"244","tcp","dayna","inbusiness"
"245","tcp","link","link"
"246","tcp","dsp3270","Display Systems Protocol"
"247","tcp","subntbcst_tftp","subntbcst-tftp"
"248","tcp","bhfhs","bhfhs"
"249","tcp","unknown",""
"250","tcp","unknown",""
"251","tcp","unknown",""
"252","tcp","unknown",""
"253","tcp","unknown",""
"254","tcp","unknown",""
"255","tcp","unknown",""
"256","tcp","fw1-secureremote","fw1-secureremote"
"257","tcp","fw1-mc-fwmodule","fw1-mc-fwmodule"
"258","tcp","fw1-mc-gui","also yak winsock personal chat"
"259","tcp","esro-gen","esro-gen"
"260","tcp","openport","openport"
"261","tcp","nsiiops","nsiiops"
"262","tcp","arcisdms","arcisdms"
"263","tcp","hdap","hdap"
"264","tcp","bgmp","bgmp"
"265","tcp","maybe-fw1","maybe-fw1"
"266","tcp","sst","SCSI on ST"
"267","tcp","td-service","Tobit David Service Layer"
"268","tcp","td-replica","Tobit David Replica"
"269","tcp","manet","MANET Protocols"
"270","tcp","gist","Q-mode encapsulation for GIST messages"
"271","tcp","pt-tls","IETF Network Endpoint Assessment (NEA) Posture Transport Protocol over TLS (PT-TLS)"
"272","tcp","unknown",""
"273","tcp","unknown",""
"274","tcp","unknown",""
"275","tcp","unknown",""
"276","tcp","unknown",""
"277","tcp","unknown",""
"278","tcp","unknown",""
"279","tcp","unknown",""
"280","tcp","http-mgmt","Hypertext Transfer Protocol [Management]"
"281","tcp","personal-link","Personal Link"
"282","tcp","cableport-ax","cableport-ax"
"283","tcp","rescap","rescap"
"284","tcp","corerjd","corerjd"
"285","tcp","unknown",""
"286","tcp","fxp","FXP Communication"
"287","tcp","k-block","k-block"
"288","tcp","unknown",""
"289","tcp","unknown",""
"290","tcp","unknown",""
"291","tcp","unknown",""
"292","tcp","unknown",""
"293","tcp","unknown",""
"294","tcp","unknown",""
"295","tcp","unknown",""
"296","tcp","unknown",""
"297","tcp","unknown",""
"298","tcp","unknown",""
"299","tcp","unknown",""
"300","tcp","unknown",""
"301","tcp","unknown",""
"302","tcp","unknown",""
"303","tcp","unknown",""
"304","tcp","unknown",""
"305","tcp","unknown",""
"306","tcp","unknown",""
"307","tcp","unknown",""
"308","tcp","novastorbakcup","novastorbakcup"
"309","tcp","entrusttime","entrusttime"
"310","tcp","bhmds","bhmds"
"311","tcp","asip-webadmin","asip-webadmin"
"312","tcp","vslmp","vslmp"
"313","tcp","magenta-logic","Magenta Logic"
"314","tcp","opalis-robot","Opalis Robot"
"315","tcp","dpsi","dpsi"
"316","tcp","decauth","decauth"
"317","tcp","zannet","zannet"
"318","tcp","pkix-timestamp","PKIX TimeStamp"
"319","tcp","ptp-event","PTP Event"
"320","tcp","ptp-general","PTP General"
"321","tcp","pip","pip"
"322","tcp","rtsps","rtsps"
"323","tcp","rpki-rtr","Resource PKI to Router Protocol"
"324","tcp","rpki-rtr-tls","Resource PKI to Router Protocol over TLS"
"325","tcp","unknown",""
"326","tcp","unknown",""
"327","tcp","unknown",""
"328","tcp","unknown",""
"329","tcp","unknown",""
"330","tcp","unknown",""
"331","tcp","unknown",""
"332","tcp","unknown",""
"333","tcp","texar","Texar Security Port"
"334","tcp","unknown",""
"335","tcp","unknown",""
"336","tcp","unknown",""
"337","tcp","unknown",""
"338","tcp","unknown",""
"339","tcp","unknown",""
"340","tcp","unknown",""
"341","tcp","unknown",""
"342","tcp","unknown",""
"343","tcp","unknown",""
"344","tcp","pdap","Prospero Data Access Protocol"
"345","tcp","pawserv","Perf Analysis Workbench"
"346","tcp","zserv","Zebra server"
"347","tcp","fatserv","Fatmen Server"
"348","tcp","csi-sgwp","Cabletron Management Protocol"
"349","tcp","mftp","mftp"
"350","tcp","matip-type-a","MATIP Type A"
"351","tcp","matip-type-b","matip-type-b"
"352","tcp","dtag-ste-sb","dtag-ste-sb"
"353","tcp","ndsauth","ndsauth"
"354","tcp","bh611","bh611"
"355","tcp","datex-asn","datex-asn"
"356","tcp","cloanto-net-1","Cloanto Net 1"
"357","tcp","bhevent","bhevent"
"358","tcp","shrinkwrap","shrinkwrap"
"359","tcp","tenebris_nts","tenebris_nts"
"360","tcp","scoi2odialog","scoi2odialog"
"361","tcp","semantix","semantix"
"362","tcp","srssend","SRS Send"
"363","tcp","rsvp_tunnel","rsvp_tunnel"
"364","tcp","aurora-cmgr","Aurora CMGR"
"365","tcp","dtk","Deception Tool Kit (www.all.net)"
"366","tcp","odmr","odmr"
"367","tcp","mortgageware","mortgageware"
"368","tcp","qbikgdp","qbikgdp"
"369","tcp","rpc2portmap","rpc2portmap"
"370","tcp","codaauth2","codaauth2"
"371","tcp","clearcase","clearcase"
"372","tcp","ulistserv","ulistserv"
"373","tcp","legent-1","legent-1"
"374","tcp","legent-2","legent-2"
"375","tcp","hassle","hassle"
"376","tcp","nip","Amiga Envoy Network Inquiry Proto"
"377","tcp","tnETOS","NEC Corporation"
"378","tcp","dsETOS","NEC Corporation"
"379","tcp","is99c","TIA/EIA/IS-99 modem client"
"380","tcp","is99s","TIA/EIA/IS-99 modem server"
"381","tcp","hp-collector","hp performance data collector"
"382","tcp","hp-managed-node","hp performance data managed node"
"383","tcp","hp-alarm-mgr","hp performance data alarm manager"
"384","tcp","arns","A Remote Network Server System"
"385","tcp","ibm-app","IBM Application"
"386","tcp","asa","ASA Message Router Object Def."
"387","tcp","aurp","Appletalk Update-Based Routing Pro."
"388","tcp","unidata-ldm","unidata-ldm"
"389","tcp","ldap","Lightweight Directory Access Protocol"
"390","tcp","uis","uis"
"391","tcp","synotics-relay","SynOptics SNMP Relay Port"
"392","tcp","synotics-broker","SynOptics Port Broker Port"
"393","tcp","dis","dis"
"394","tcp","embl-ndt","EMBL Nucleic Data Transfer"
"395","tcp","netcp","netcp"
"396","tcp","netware-ip","Novell Netware over IP"
"397","tcp","mptn","Multi Protocol Trans. Net."
"398","tcp","kryptolan","kryptolan"
"399","tcp","iso-tsap-c2","iso-tsap-c2"
"400","tcp","work-sol","work-sol"
"401","tcp","ups","Uninterruptible Power Supply"
"402","tcp","genie","Genie Protocol"
"403","tcp","decap","decap"
"404","tcp","nced","nced"
"405","tcp","ncld","ncld"
"406","tcp","imsp","Interactive Mail Support Protocol"
"407","tcp","timbuktu","timbuktu"
"408","tcp","prm-sm","Prospero Resource Manager Sys. Man."
"409","tcp","prm-nm","Prospero Resource Manager Node Man."
"410","tcp","decladebug","DECLadebug Remote Debug Protocol"
"411","tcp","rmt","Remote MT Protocol"
"412","tcp","synoptics-trap","Trap Convention Port"
"413","tcp","smsp","Storage Management Services Protocol"
"414","tcp","infoseek","infoseek"
"415","tcp","bnet","bnet"
"416","tcp","silverplatter","silverplatter"
"417","tcp","onmux","Meeting maker"
"418","tcp","hyper-g","hyper-g"
"419","tcp","ariel1","Ariel 1"
"420","tcp","smpte","smpte"
"421","tcp","ariel2","Ariel 2"
"422","tcp","ariel3","Ariel 3"
"423","tcp","opc-job-start","IBM Operations Planning and Control Start"
"424","tcp","opc-job-track","IBM Operations Planning and Control Track"
"425","tcp","icad-el","ICAD"
"426","tcp","smartsdp","smartsdp"
"427","tcp","svrloc","Server Location"
"428","tcp","ocs_cmu","ocs-cmu"
"429","tcp","ocs_amu","ocs-amu"
"430","tcp","utmpsd","utmpsd"
"431","tcp","utmpcd","utmpcd"
"432","tcp","iasd","iasd"
"433","tcp","nnsp","nnsp"
"434","tcp","mobileip-agent","mobileip-agent"
"435","tcp","mobilip-mn","mobilip-mn"
"436","tcp","dna-cml","dna-cml"
"437","tcp","comscm","comscm"
"438","tcp","dsfgw","dsfgw"
"439","tcp","dasp","dasp"
"440","tcp","sgcp","sgcp"
"441","tcp","decvms-sysmgt","decvms-sysmgt"
"442","tcp","cvc_hostd","cvc-hostd"
"443","tcp","https","Hypertext Transfer Protocol Secure"
"444","tcp","snpp","Simple Network Paging Protocol"
"445","tcp","microsoft-ds","SMB directly over IP"
"446","tcp","ddm-rdb","DDM-Remote Relational Database Access"
"447","tcp","ddm-dfm","DDM-Distributed File Management"
"448","tcp","ddm-ssl","ddm-ssl"
"449","tcp","as-servermap","AS Server Mapper"
"450","tcp","tserver","Computer Supported Telecomunication Applications"
"451","tcp","sfs-smp-net","Cray Network Semaphore server"
"452","tcp","sfs-config","Cray SFS config server"
"453","tcp","creativeserver","creativeserver"
"454","tcp","contentserver","contentserver"
"455","tcp","creativepartnr","creativepartnr"
"456","tcp","macon","macon"
"457","tcp","scohelp","scohelp"
"458","tcp","appleqtc","apple quick time"
"459","tcp","ampr-rcmd","ampr-rcmd"
"460","tcp","skronk","skronk"
"461","tcp","datasurfsrv","DataRampSrv"
"462","tcp","datasurfsrvsec","DataRampSrvSec"
"463","tcp","alpes","alpes"
"464","tcp","kpasswd5","kpasswd5"
"465","tcp","smtps","smtps"
"466","tcp","digital-vrc","digital-vrc"
"467","tcp","mylex-mapd","mylex-mapd"
"468","tcp","photuris","photuris"
"469","tcp","rcp","Radio Control Protocol"
"470","tcp","scx-proxy","scx-proxy"
"471","tcp","mondex","mondex"
"472","tcp","ljk-login","ljk-login"
"473","tcp","hybrid-pop","hybrid-pop"
"474","tcp","tn-tl-w1","tn-tl-w2"
"475","tcp","tcpnethaspsrv","tcpnethaspsrv"
"476","tcp","tn-tl-fd1","tn-tl-fd1"
"477","tcp","ss7ns","ss7ns"
"478","tcp","spsc","spsc"
"479","tcp","iafserver","iafserver"
"480","tcp","loadsrv","iafdbase"
"481","tcp","dvs","dvs"
"482","tcp","bgs-nsi","bgs-nsi"
"483","tcp","ulpnet","ulpnet"
"484","tcp","integra-sme","Integra Software Management Environment"
"485","tcp","powerburst","Air Soft Power Burst"
"486","tcp","sstats","avian"
"487","tcp","saft","saft Simple Asynchronous File Transfer"
"488","tcp","gss-http","gss-http"
"489","tcp","nest-protocol","nest-protocol"
"490","tcp","micom-pfs","micom-pfs"
"491","tcp","go-login","go-login"
"492","tcp","ticf-1","Transport Independent Convergence for FNA"
"493","tcp","ticf-2","Transport Independent Convergence for FNA"
"494","tcp","pov-ray","pov-ray"
"495","tcp","intecourier","intecourier"
"496","tcp","pim-rp-disc","pim-rp-disc"
"497","tcp","retrospect","Retrospect backup and restore service"
"498","tcp","siam","siam"
"499","tcp","iso-ill","ISO ILL Protocol"
"500","tcp","isakmp","isakmp"
"501","tcp","stmf","stmf"
"502","tcp","mbap","Modbus Application Protocol"
"503","tcp","intrinsa","intrinsa"
"504","tcp","citadel","citadel"
"505","tcp","mailbox-lm","mailbox-lm"
"506","tcp","ohimsrv","ohimsrv"
"507","tcp","crs","crs"
"508","tcp","xvttp","xvttp"
"509","tcp","snare","snare"
"510","tcp","fcp","FirstClass Protocol"
"511","tcp","passgo","passgo"
"512","tcp","exec","exec"
"513","tcp","login","login"
"514","tcp","shell","shell"
"515","tcp","printer","printer"
"516","tcp","videotex","videotex"
"517","tcp","talk","talk"
"518","tcp","ntalk","(talkd)"
"519","tcp","utime","unixtime"
"520","tcp","efs","efs"
"521","tcp","ripng","ripng"
"522","tcp","ulp","ulp"
"523","tcp","ibm-db2","ibm-db2"
"524","tcp","ncp","ncp"
"525","tcp","timed","timeserver"
"526","tcp","tempo","newdate"
"527","tcp","stx","Stock IXChange"
"528","tcp","custix","Customer IXChange"
"529","tcp","irc","irc"
"530","tcp","courier","rpc"
"531","tcp","conference","chat"
"532","tcp","netnews","readnews"
"533","tcp","netwall","for emergency broadcasts"
"534","tcp","mm-admin","mm-admin"
"535","tcp","iiop","iiop"
"536","tcp","opalis-rdv","opalis-rdv"
"537","tcp","nmsp","Networked Media Streaming Protocol"
"538","tcp","gdomap","gdomap"
"539","tcp","apertus-ldp","Apertus Technologies Load Determination"
"540","tcp","uucp","uucpd"
"541","tcp","uucp-rlogin","uucp-rlogin"
"542","tcp","commerce","commerce"
"543","tcp","klogin","Kerberos (v4/v5)"
"544","tcp","kshell","kshell"
"545","tcp","ekshell","ekshell"
"546","tcp","dhcpv6-client","DHCPv6 Client"
"547","tcp","dhcpv6-server","DHCPv6 Server"
"548","tcp","afp","afp"
"549","tcp","idfp","idfp"
"550","tcp","new-rwho","new-who"
"551","tcp","cybercash","cybercash"
"552","tcp","deviceshare","devshr-nts"
"553","tcp","pirp","pirp"
"554","tcp","rtsp","rtsp"
"555","tcp","dsf","dsf"
"556","tcp","remotefs","remotefs"
"557","tcp","openvms-sysipc","openvms-sysipc"
"558","tcp","sdnskmp","sdnskmp"
"559","tcp","teedtap","teedtap"
"560","tcp","rmonitor","rmonitord"
"561","tcp","monitor","monitor"
"562","tcp","chshell","chcmd"
"563","tcp","snews","snews"
"564","tcp","9pfs","plan 9 file service"
"565","tcp","whoami","whoami"
"566","tcp","streettalk","streettalk"
"567","tcp","banyan-rpc","banyan-rpc"
"568","tcp","ms-shuttle","ms-shuttle"
"569","tcp","ms-rome","ms-rome"
"570","tcp","meter","demon"
"571","tcp","umeter","umeter"
"572","tcp","sonar","sonar"
"573","tcp","banyan-vip","banyan-vip"
"574","tcp","ftp-agent","File Transfer Protocol - Software Agent System"
"575","tcp","vemmi","vemmi"
"576","tcp","ipcd","ipcd"
"577","tcp","vnas","vnas"
"578","tcp","ipdd","ipdd"
"579","tcp","decbsrv","decbsrv"
"580","tcp","sntp-heartbeat","SNTP HEARTBEAT"
"581","tcp","bdp","Bundle Discovery Protocol"
"582","tcp","scc-security","SCC Security"
"583","tcp","philips-vc","Philips Video-Conferencing"
"584","tcp","keyserver","Key Server"
"585","tcp","imap4-ssl","IMAP4+SSL (use of 585 not recommended)"
"586","tcp","password-chg","Password Change"
"587","tcp","submission","Message Submission"
"588","tcp","cal","cal"
"589","tcp","eyelink","eyelink"
"590","tcp","tns-cml","TNS CML"
"591","tcp","http-alt","Hypertext Transfer Protocol (Alternate)"
"592","tcp","eudora-set","Eudora Set"
"593","tcp","http-rpc-epmap","Hypertext Transfer Protocol RPC Ep Map"
"594","tcp","tpip","tpip"
"595","tcp","cab-protocol","CAB Protocol"
"596","tcp","smsd","smsd"
"597","tcp","ptcnameservice","PTC Name Service"
"598","tcp","sco-websrvrmg3","SCO Web Server Manager 3"
"599","tcp","acp","Aeolon Core Protocol"
"600","tcp","ipcserver","Sun IPC server"
"601","tcp","syslog-conn","Reliable Syslog Service"
"602","tcp","xmlrpc-beep","XML-RPC over BEEP"
"603","tcp","mnotes","mnotes"
"604","tcp","tunnel","tunnel"
"605","tcp","soap-beep","SOAP over BEEP"
"606","tcp","urm","Cray Unified Resource Manager"
"607","tcp","nqs","nqs"
"608","tcp","sift-uft","Sender-Initiated/Unsolicited File Transfer"
"609","tcp","npmp-trap","npmp-trap"
"610","tcp","npmp-local","npmp-local"
"611","tcp","npmp-gui","npmp-gui"
"612","tcp","hmmp-ind","HMMP Indication"
"613","tcp","hmmp-op","HMMP Operation"
"614","tcp","sshell","SSL Shell"
"615","tcp","sco-inetmgr","Internet Configuration Manager"
"616","tcp","sco-sysmgr","SCO System Administration Server"
"617","tcp","sco-dtmgr","sco-dtmgr"
"618","tcp","dei-icda","dei-icda"
"619","tcp","compaq-evm","Compaq EVM"
"620","tcp","sco-websrvrmgr","SCO WebServer Manager"
"621","tcp","escp-ip","ESCP"
"622","tcp","collaborator","collaborator"
"623","tcp","oob-ws-http","oob-ws-http"
"624","tcp","cryptoadmin","Crypto Admin"
"625","tcp","apple-xsrvr-admin","apple-xsrvr-admin"
"626","tcp","apple-imap-admin","apple-imap-admin"
"627","tcp","passgo-tivoli","PassGo Tivoli"
"628","tcp","qmqp","Qmail Quick Mail Queueing"
"629","tcp","3com-amp3","3Com AMP3"
"630","tcp","rda","rda"
"631","tcp","ipp","ipp"
"632","tcp","bmpp","bmpp"
"633","tcp","servstat","Service Status update (Sterling Software)"
"634","tcp","ginad","ginad"
"635","tcp","rlzdbase","RLZ DBase"
"636","tcp","ldapssl","ldapssl"
"637","tcp","lanserver","lanserver"
"638","tcp","mcns-sec","mcns-sec"
"639","tcp","msdp","msdp"
"640","tcp","entrust-sps","entrust-sps"
"641","tcp","repcmd","repcmd"
"642","tcp","esro-emsdp","ESRO-EMSDP V1.3"
"643","tcp","sanity","sanity"
"644","tcp","dwr","dwr"
"645","tcp","pssc","pssc"
"646","tcp","ldp","Label Distribution"
"647","tcp","dhcp-failover","DHCP Failover"
"648","tcp","rrp","Registry Registrar Protocol (RRP)"
"649","tcp","cadview-3d","Cadview-3d - streaming 3d models over the internet"
"650","tcp","obex","obex"
"651","tcp","ieee-mms","IEEE MMS"
"652","tcp","hello-port","HELLO_PORT"
"653","tcp","repscmd","RepCmd"
"654","tcp","aodv","aodv"
"655","tcp","tinc","tinc"
"656","tcp","spmp","spmp"
"657","tcp","rmc","rmc"
"658","tcp","tenfold","tenfold"
"659","tcp","unknown",""
"660","tcp","mac-srvr-admin","MacOS Server Admin"
"661","tcp","hap","hap"
"662","tcp","pftp","pftp"
"663","tcp","purenoise","purenoise"
"664","tcp","secure-aux-bus","secure-aux-bus"
"665","tcp","sun-dr","Sun DR"
"666","tcp","doom","doom"
"667","tcp","disclose","campaign contribution disclosures - SDR Technologies"
"668","tcp","mecomm","mecomm"
"669","tcp","meregister","meregister"
"670","tcp","vacdsm-sws","vacdsm-sws"
"671","tcp","vacdsm-app","vacdsm-app"
"672","tcp","vpps-qua","vpps-qua"
"673","tcp","cimplex","cimplex"
"674","tcp","acap","ACAP server of Communigate (www.stalker.com)"
"675","tcp","dctp","dctp"
"676","tcp","vpps-via","VPPS Via"
"677","tcp","vpp","Virtual Presence Protocol"
"678","tcp","ggf-ncp","GNU Generation Foundation NCP"
"679","tcp","mrm","mrm"
"680","tcp","entrust-aaas","entrust-aaas"
"681","tcp","entrust-aams","entrust-aams"
"682","tcp","xfr","xfr"
"683","tcp","corba-iiop","CORBA IIOP"
